diagnosis_type	diagnosis_code	diagnosis_description	mapped_icd9	mapped_icd10	map_flag
ICD10-CM	S60.414D	Abrasion of right ring finger, subsequent encounter	V5889	S60414D	10000
ICD10-CM	S66.108A	Unspecified injury of flexor muscle, fascia and tendon of other finger at wrist and hand level, initial encounter	9593	S66108A	10000
ICD10-CM	L76.34	Postprocedural seroma of skin and subcutaneous tissue following other procedure	99813	L7634	10000
ICD10-CM	O46.8X3	Other antepartum hemorrhage, third trimester	64181	O468X3	10000
ICD10-CM	T20.07XA	Burn of unspecified degree of neck, initial encounter	94108	T2007XA	10000
ICD10-CM	H35.049	Retinal micro-aneurysms, unspecified, unspecified eye	36214	H35049	10000
ICD10-CM	I97.62	Postprocedural hemorrhage, hematoma and seroma of a circulatory system organ or structure following other procedure	99811	I97620	10000
ICD10-CM	S80.822S	Blister (nonthermal), left lower leg, sequela	9062	S80822S	10000
ICD10-CM	E11.3541	Type 2 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye	36100	E113541	10114
ICD10-CM	M75.1	Rotator cuff tear or rupture, not specified as traumatic	72610	M75100	10000
ICD10-CM	J01.01	Acute recurrent maxillary sinusitis	4610	J0101	10000
ICD10-CM	C44.222	Squamous cell carcinoma of skin of right ear and external auricular canal	17322	C44222	10000
ICD10-CM	M89.322	Hypertrophy of bone, left humerus	73399	M89322	10000
ICD10-CM	V49.9XXA	Car occupant (driver) (passenger) injured in unspecified traffic accident, initial encounter	E8190	V499XXA	10000
ICD10-CM	T83.510A	Infection and inflammatory reaction due to cystostomy catheter, initial encounter	99664	T83510A	10000
ICD10-CM	H02.125	Mechanical ectropion of left lower eyelid	37412	H02125	10000
ICD10-CM	S90.222S	Contusion of left lesser toe(s) with damage to nail, sequela	9063	S90222S	10000
ICD10-CM	J45.40	Moderate persistent asthma, uncomplicated	49300	J4540	10000
ICD10-CM	S13.160A	Subluxation of C5/C6 cervical vertebrae, initial encounter	83906	S13160A	10000
ICD10-CM	Z94.83	Pancreas transplant status	V4283	Z9483	00000
ICD10-CM	A51.49	Other secondary syphilitic conditions	09169	A5149	10000
ICD10-CM	H33.322	Round hole, left eye	36131	H33322	10000
ICD10-CM	M34.81	Systemic sclerosis with lung involvement	7101	M3481	10111
ICD10-CM	L76.01	Intraoperative hemorrhage and hematoma of skin and subcutaneous tissue complicating a dermatologic procedure	99811	L7601	10000
ICD10-CM	S82.199D	Other fracture of upper end of unspecified tibia, subsequent encounter for closed fracture with routine healing	V5416	S82199D	10000
ICD10-CM	T63.611A	Toxic effect of contact with Portugese Man-o-war, accidental (unintentional), initial encounter	E9056	T63611A	10112
ICD10-CM	I69.020	Aphasia following nontraumatic subarachnoid hemorrhage	43811	I69020	10000
ICD10-CM	S62.666A	Nondisplaced fracture of distal phalanx of right little finger, initial encounter for closed fracture	81602	S62666A	10000
ICD10-CM	Z48.288	Encounter for aftercare following multiple organ transplant	V5844	Z48288	10111
ICD10-CM	S60.361A	Insect bite (nonvenomous) of right thumb, initial encounter	9154	S60361A	10000
ICD10-CM	S49.101D	Unspecified physeal fracture of lower end of humerus, right arm, subsequent encounter for fracture with routine healing	V5411	S49101D	10000
ICD10-CM	S83.279S	Complex tear of lateral meniscus, current injury, unspecified knee, sequela	9057	S83279S	10000
ICD10-CM	D86.3	Sarcoidosis of skin	135	D863	10000
ICD10-CM	H40.10X1	Unspecified open-angle glaucoma, mild stage	36571	H4010X1	10112
ICD10-CM	O75.81	Maternal exhaustion complicating labor and delivery	66982	O7581	10000
ICD10-CM	T39.012D	Poisoning by aspirin, intentional self-harm, subsequent encounter	V5889	T39012D	10000
ICD10-CM	S32.029S	Unspecified fracture of second lumbar vertebra, sequela	9051	S32029S	10000
ICD10-CM	E78.72	Smith-Lemli-Opitz syndrome	75989	E7872	10000
ICD10-CM	T84.114S	Breakdown (mechanical) of internal fixation device of right femur, sequela	9093	T84114S	10000
ICD10-CM	O86.0	Infection of obstetric surgical wound	67434	O860	10000
ICD10-CM	S25.122A	Major laceration of left innominate or subclavian artery, initial encounter	9011	S25122A	10000
ICD10-CM	W37.8XXA	Explosion and rupture of other pressurized tire, pipe or hose, initial encounter	E9218	W378XXA	10000
ICD10-CM	W42.9XXA	Exposure to other noise, initial encounter	E9281	W429XXA	10000
ICD10-CM	I69.264	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left non-dominant side	43852	I69264	10000
ICD10-CM	S02.631A	Fracture of coronoid process of right mandible, initial encounter for closed fracture	80223	S02631A	10000
ICD10-CM	B05.9	Measles without complication	0559	B059	00000
ICD10-CM	T24.422D	Corrosion of unspecified degree of left knee, subsequent encounter	V5889	T24422D	10000
ICD10-CM	T43.8X2A	Poisoning by other psychotropic drugs, intentional self-harm, initial encounter	E9503	T438X2A	10112
ICD10-CM	S92.423D	Displaced fracture of distal phalanx of unspecified great toe, subsequent encounter for fracture with routine healing	V5416	S92423D	10000
ICD10-CM	Y04.0XXD	Assault by unarmed brawl or fight, subsequent encounter	E9600	Y040XXD	10000
ICD10-CM	C50.029	Malignant neoplasm of nipple and areola, unspecified male breast	1750	C50029	10000
ICD10-CM	R06.6	Hiccough	7868	R066	00000
ICD10-CM	H59.42	Inflammation (infection) of postprocedural bleb, stage 2	37962	H5942	00000
ICD10-CM	M84.472D	Pathological fracture, left ankle, subsequent encounter for fracture with routine healing	V5426	M84472D	10000
ICD10-CM	T40.0X1A	Poisoning by opium, accidental (unintentional), initial encounter	E8502	T400X1A	10112
ICD10-CM	M17.9	Osteoarthritis of knee, unspecified	71596	M179	10000
ICD10-CM	E15	Nondiabetic hypoglycemic coma	2510	E15	00000
ICD10-CM	Z3A.28	28 weeks gestation of pregnancy	NoDx	Z3A28	11000
ICD10-CM	I25.71	Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris	4111	I25710	10112
ICD10-CM	C43.71	Malignant melanoma of right lower limb, including hip	1727	C4371	10000
ICD10-CM	M90.511	Osteonecrosis in diseases classified elsewhere, right shoulder	7318	M90511	10111
ICD10-CM	I71.6	Thoracoabdominal aortic aneurysm, without rupture	4417	I716	00000
ICD10-CM	F12.10	Cannabis abuse, uncomplicated	30521	F1210	10000
ICD10-CM	M05.829	Other rheumatoid arthritis with rheumatoid factor of unspecified elbow	7140	M05829	10000
ICD10-CM	H44.431	Hypotony of eye due to other ocular disorders, right eye	36033	H44431	10000
ICD10-CM	H18.40	Unspecified corneal degeneration	37140	H1840	00000
ICD10-CM	S43.203A	Unspecified subluxation of unspecified sternoclavicular joint, initial encounter	83961	S43203A	10000
ICD10-CM	M10.241	Drug-induced gout, right hand	27400	M10241	10000
ICD10-CM	S42.032K	Displaced fracture of lateral end of left clavicle, subsequent encounter for fracture with nonunion	73382	S42032K	10000
ICD10-CM	K51.413	Inflammatory polyps of colon with fistula	5564	K51413	10111
ICD10-CM	S52.392K	Other fracture of shaft of radius, left arm, subsequent encounter for closed fracture with nonunion	73382	S52392K	10000
ICD10-CM	N90.60	Unspecified hypertrophy of vulva	6243	N9060	10000
ICD10-CM	S61.212A	Laceration without foreign body of right middle finger without damage to nail, initial encounter	8830	S61212A	10000
ICD10-CM	Z11.8	Encounter for screening for other infectious and parasitic diseases	V748	Z118	10000
ICD10-CM	S93.111A	Dislocation of interphalangeal joint of right great toe, initial encounter	83806	S93111A	10000
ICD10-CM	S82.442F	Displaced spiral fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing	V5416	S82442F	10000
ICD10-CM	S76.092D	Other specified injury of muscle, fascia and tendon of left hip, subsequent encounter	V5889	S76092D	10000
ICD10-CM	Z52.3	Bone marrow donor	V593	Z523	00000
ICD10-CM	M00.032	Staphylococcal arthritis, left wrist	71103	M00032	10111
ICD10-CM	S00.472A	Other superficial bite of left ear, initial encounter	9108	S00472A	10000
ICD10-CM	Z92.241	Personal history of systemic steroid therapy	V8745	Z92241	00000
ICD10-CM	J39.8	Other specified diseases of upper respiratory tract	4789	J398	10000
ICD10-CM	O01.9	Hydatidiform mole, unspecified	630	O019	10000
ICD10-CM	S82.492A	Other fracture of shaft of left fibula, initial encounter for closed fracture	82321	S82492A	10000
ICD10-CM	H40.40X4	Glaucoma secondary to eye inflammation, unspecified eye, indeterminate stage	36562	H4040X4	10000
ICD10-CM	T86.19	Other complication of kidney transplant	99681	T8619	10000
ICD10-CM	H60.63	Unspecified chronic otitis externa, bilateral	38023	H6063	10000
ICD10-CM	L72.0	Epidermal cyst	7062	L720	10000
ICD10-CM	N07.8	Hereditary nephropathy, not elsewhere classified with other morphologic lesions	58389	N078	10000
ICD10-CM	Q05.9	Spina bifida, unspecified	74100	Q059	10000
ICD10-CM	O98.113	Syphilis complicating pregnancy, third trimester	64703	O98113	10000
ICD10-CM	K74.4	Secondary biliary cirrhosis	5716	K744	10000
ICD10-CM	S82.52XS	Displaced fracture of medial malleolus of left tibia, sequela	9054	S8252XS	10000
ICD10-CM	S46.392A	Other injury of muscle, fascia and tendon of triceps, left arm, initial encounter	9592	S46392A	10000
ICD10-CM	I63.59	Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery	43381	I6359	10000
ICD10-CM	S31.139D	Puncture wound of abdominal wall without foreign body, unspecified quadrant without penetration into peritoneal cavity, subsequent encounter	V5889	S31139D	10000
ICD10-CM	Z13.8	Encounter for screening for other specified diseases and disorders	V816	Z1389	10000
ICD10-CM	J44.1	Chronic obstructive pulmonary disease with (acute) exacerbation	49322	J441	10000
ICD10-CM	E21.3	Hyperparathyroidism, unspecified	25200	E213	00000
ICD10-CM	M08.962	Juvenile arthritis, unspecified, left knee	71430	M08962	10000
ICD10-CM	S79.921A	Unspecified injury of right thigh, initial encounter	9596	S79921A	10000
ICD10-CM	I83.813	Varicose veins of bilateral lower extremities with pain	4548	I83813	10000
ICD10-CM	S62.318A	Displaced fracture of base of other metacarpal bone, initial encounter for closed fracture	81502	S62318A	10000
ICD10-CM	L89.121	Pressure ulcer of left upper back, stage 1	70721	L89121	10112
ICD10-CM	S05.11XA	Contusion of eyeball and orbital tissues, right eye, initial encounter	9212	S0511XA	10000
ICD10-CM	S61.216D	Laceration without foreign body of right little finger without damage to nail, subsequent encounter	V5889	S61216D	10000
ICD10-CM	H70.001	Acute mastoiditis without complications, right ear	38300	H70001	10000
ICD10-CM	D68.69	Other thrombophilia	28982	D6869	10000
ICD10-CM	S37.001A	Unspecified injury of right kidney, initial encounter	86600	S37001A	10000
ICD10-CM	S91.011D	Laceration without foreign body, right ankle, subsequent encounter	V5889	S91011D	10000
ICD10-CM	T63.91XA	Toxic effect of contact with unspecified venomous animal, accidental (unintentional), initial encounter	9895	T6391XA	10111
ICD10-CM	T46.1X5D	Adverse effect of calcium-channel blockers, subsequent encounter	V5889	T461X5D	10000
ICD10-CM	Z91.14	Patient's other noncompliance with medication regimen	V1581	Z9114	10000
ICD10-CM	S21.111A	Laceration without foreign body of right front wall of thorax without penetration into thoracic cavity, initial encounter	8750	S21111A	10000
ICD10-CM	S72.399A	Other fracture of shaft of unspecified femur, initial encounter for closed fracture	82101	S72399A	10000
ICD10-CM	M10.19	Lead-induced gout, multiple sites	27400	M1019	10000
ICD10-CM	T82.223A	Leakage of biological heart valve graft, initial encounter	99609	T82223A	10000
ICD10-CM	L20.81	Atopic neurodermatitis	6918	L2081	10000
ICD10-CM	H40.63X1	Glaucoma secondary to drugs, bilateral, mild stage	36532	H4063X1	10111
ICD10-CM	M67.331	Transient synovitis, right wrist	72709	M67331	10000
ICD10-CM	T24.031A	Burn of unspecified degree of right lower leg, initial encounter	94504	T24031A	10000
ICD10-CM	I87.392	Chronic venous hypertension (idiopathic) with other complications of left lower extremity	45939	I87392	10000
ICD10-CM	S63.633D	Sprain of interphalangeal joint of left middle finger, subsequent encounter	V5889	S63633D	10000
ICD10-CM	N36.43	Combined hypermobility of urethra and intrinsic sphincter deficiency	59982	N3643	10112
ICD10-CM	M84.464D	Pathological fracture, left fibula, subsequent encounter for fracture with routine healing	V5426	M84464D	10000
ICD10-CM	T38.0X1S	Poisoning by glucocorticoids and synthetic analogues, accidental (unintentional), sequela	9090	T380X1S	10111
ICD10-CM	T74.21XA	Adult sexual abuse, confirmed, initial encounter	99583	T7421XA	10000
ICD10-CM	Z86.59	Personal history of other mental and behavioral disorders	V118	Z8659	10000
ICD10-CM	S98.212D	Complete traumatic amputation of two or more left lesser toes, subsequent encounter	V5889	S98212D	10000
ICD10-CM	F13.221	Sedative, hypnotic or anxiolytic dependence with intoxication delirium	29281	F13221	10111
ICD10-CM	Z85.840	Personal history of malignant neoplasm of eye	V1084	Z85840	00000
ICD10-CM	M67.861	Other specified disorders of synovium, right knee	72789	M67861	10000
ICD10-CM	T46.2X1S	Poisoning by other antidysrhythmic drugs, accidental (unintentional), sequela	9090	T462X1S	10111
ICD10-CM	M25.10	Fistula, unspecified joint	71980	M2510	10000
ICD10-CM	T43.225A	Adverse effect of selective serotonin reuptake inhibitors, initial encounter	E9390	T43225A	10112
ICD10-CM	Z38.01	Single liveborn infant, delivered by cesarean	V3001	Z3801	10000
ICD10-CM	H65.115	Acute and subacute allergic otitis media (mucoid) (sanguinous) (serous), recurrent, left ear	38106	H65115	10000
ICD10-CM	T45.8X5S	Adverse effect of other primarily systemic and hematological agents, sequela	E9348	T458X5S	10122
ICD10-CM	E36.02	Intraoperative hemorrhage and hematoma of an endocrine system organ or structure complicating other procedure	99811	E3602	10000
ICD10-CM	E66.9	Obesity, unspecified	27800	E669	10000
ICD10-CM	N64.59	Other signs and symptoms in breast	61179	N6459	10000
ICD10-CM	W51.XXXA	Accidental striking against or bumped into by another person, initial encounter	E9179	W51XXXA	10000
ICD10-CM	S05.02XA	Injury of conjunctiva and corneal abrasion without foreign body, left eye, initial encounter	9181	S0502XA	10000
ICD10-CM	T63.394A	Toxic effect of venom of other spider, undetermined, initial encounter	9895	T63394A	10111
ICD10-CM	Z52.001	Unspecified donor, stem cells	V5902	Z52001	10000
ICD10-CM	T39.314A	Poisoning by propionic acid derivatives, undetermined, initial encounter	9651	T39314A	10111
ICD10-CM	M47.022	Vertebral artery compression syndromes, cervical region	7211	M47022	10000
ICD10-CM	S90.822S	Blister (nonthermal), left foot, sequela	9062	S90822S	10000
ICD10-CM	S92.331A	Displaced fracture of third metatarsal bone, right foot, initial encounter for closed fracture	82525	S92331A	10000
ICD10-CM	D71	Functional disorders of polymorphonuclear neutrophils	2881	D71	00000
ICD10-CM	L89.200	Pressure ulcer of unspecified hip, unstageable	70704	L89200	10111
ICD10-CM	T54.94XA	Toxic effect of unspecified corrosive substance, undetermined, initial encounter	9839	T5494XA	10111
ICD10-CM	E13.43	Other specified diabetes mellitus with diabetic autonomic (poly)neuropathy	24960	E1343	10000
ICD10-CM	C96.2	Malignant mast cell tumor	20261	C9620	10000
ICD10-CM	T22.412A	Corrosion of unspecified degree of left forearm, initial encounter	94301	T22412A	10000
ICD10-CM	M67.873	Other specified disorders of tendon, right ankle and foot	72789	M67873	10000
ICD10-CM	C82.58	Diffuse follicle center lymphoma, lymph nodes of multiple sites	20288	C8258	10000
ICD10-CM	M50.13	Cervical disc disorder with radiculopathy, cervicothoracic region	72291	M5013	10000
ICD10-CM	S67.197A	Crushing injury of left little finger, initial encounter	9273	S67197A	10000
ICD10-CM	H17.811	Minor opacity of cornea, right eye	37101	H17811	10000
ICD10-CM	B02.23	Postherpetic polyneuropathy	05313	B0223	00000
ICD10-CM	H40.51X2	Glaucoma secondary to other eye disorders, right eye, moderate stage	36560	H4051X2	10000
ICD10-CM	C92.91	Myeloid leukemia, unspecified in remission	20591	C9291	00000
ICD10-CM	D07.61	Carcinoma in situ of scrotum	2336	D0761	10000
ICD10-CM	M48.30	Traumatic spondylopathy, site unspecified	7217	M4830	10000
ICD10-CM	M42.06	Juvenile osteochondrosis of spine, lumbar region	7320	M4206	10000
ICD10-CM	R82.99	Other abnormal findings in urine	7919	R8299	10000
ICD10-CM	H35.3134	Nonexudative age-related macular degeneration, bilateral, advanced atrophic with subfoveal involvement	36251	H353134	10000
ICD10-CM	L89.013	Pressure ulcer of right elbow, stage 3	70723	L89013	10112
ICD10-CM	S73.001D	Unspecified subluxation of right hip, subsequent encounter	V5889	S73001D	10000
ICD10-CM	M24.30	Pathological dislocation of unspecified joint, not elsewhere classified	71820	M2430	10000
ICD10-CM	S62.321B	Displaced fracture of shaft of second metacarpal bone, left hand, initial encounter for open fracture	81513	S62321B	10000
ICD10-CM	C30.0	Malignant neoplasm of nasal cavity	1600	C300	00000
ICD10-CM	S42.143A	Displaced fracture of glenoid cavity of scapula, unspecified shoulder, initial encounter for closed fracture	81103	S42143A	10000
ICD10-CM	S51.801S	Unspecified open wound of right forearm, sequela	9061	S51801S	10000
ICD10-CM	N90.69	Other specified hypertrophy of vulva	6243	N9069	10000
ICD10-CM	T43.4X4A	Poisoning by butyrophenone and thiothixene neuroleptics, undetermined, initial encounter	E9803	T434X4A	10112
ICD10-CM	S62.242B	Displaced fracture of shaft of first metacarpal bone, left hand, initial encounter for open fracture	81513	S62242B	10000
ICD10-CM	R93.6	Abnormal findings on diagnostic imaging of limbs	7937	R936	10000
ICD10-CM	S36.029D	Unspecified contusion of spleen, subsequent encounter	V5889	S36029D	10000
ICD10-CM	M47.89	Other spondylosis	72190	M47899	10000
ICD10-CM	S24.112S	Complete lesion at T2-T6 level of thoracic spinal cord, sequela	9072	S24112S	10000
ICD10-CM	T22.321D	Burn of third degree of right elbow, subsequent encounter	V5889	T22321D	10000
ICD10-CM	M25.672	Stiffness of left ankle, not elsewhere classified	71957	M25672	10000
ICD10-CM	T43.211D	Poisoning by selective serotonin and norepinephrine reuptake inhibitors, accidental (unintentional), subsequent encounter	V5889	T43211D	10000
ICD10-CM	Z18.89	Other specified retained foreign body fragments	V9089	Z1889	00000
ICD10-CM	M50.121	Cervical disc disorder at C4-C5 level with radiculopathy	72291	M50121	10000
ICD10-CM	T23.361A	Burn of third degree of back of right hand, initial encounter	94446	T23361A	10000
ICD10-CM	S82.309G	Unspecified fracture of lower end of unspecified tibia, subsequent encounter for closed fracture with delayed healing	V5416	S82309G	10000
ICD10-CM	M65.80	Other synovitis and tenosynovitis, unspecified site	72709	M6580	10000
ICD10-CM	S60.411A	Abrasion of left index finger, initial encounter	9150	S60411A	10000
ICD10-CM	S52.032G	Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for closed fracture with delayed healing	V5412	S52032G	10000
ICD10-CM	S66.194A	Other injury of flexor muscle, fascia and tendon of right ring finger at wrist and hand level, initial encounter	9593	S66194A	10000
ICD10-CM	S01.102A	Unspecified open wound of left eyelid and periocular area, initial encounter	8708	S01102A	10000
ICD10-CM	Y80.2	Prosthetic and other implants, materials and accessory physical medicine devices associated with adverse incidents	NoDx	Y802	11000
ICD10-CM	C83.12	Mantle cell lymphoma, intrathoracic lymph nodes	20042	C8312	00000
ICD10-CM	I01.9	Acute rheumatic heart disease, unspecified	3919	I019	00000
ICD10-CM	M23.30	Other meniscus derangements, unspecified meniscus	71740	M23300	10000
ICD10-CM	M66.145	Rupture of synovium, left finger(s)	72759	M66145	10000
ICD10-CM	H33.333	Multiple defects of retina without detachment, bilateral	36133	H33333	10000
ICD10-CM	M67.441	Ganglion, right hand	72741	M67441	10000
ICD10-CM	M71.572	Other bursitis, not elsewhere classified, left ankle and foot	7273	M71572	10000
ICD10-CM	O99.611	Diseases of the digestive system complicating pregnancy, first trimester	64891	O99611	10000
ICD10-CM	J96.01	Acute respiratory failure with hypoxia	51851	J9601	10000
ICD10-CM	M60.022	Infective myositis, left upper arm	7280	M60022	10000
ICD10-CM	Y23.0XXA	Shotgun discharge, undetermined intent, initial encounter	E9851	Y230XXA	10000
ICD10-CM	M36.1	Arthropathy in neoplastic disease	7138	M361	10000
ICD10-CM	S41.122A	Laceration with foreign body of left upper arm, initial encounter	88013	S41122A	10000
ICD10-CM	O46.90	Antepartum hemorrhage, unspecified, unspecified trimester	64190	O4690	10000
ICD10-CM	S62.304B	Unspecified fracture of fourth metacarpal bone, right hand, initial encounter for open fracture	81519	S62304B	10000
ICD10-CM	G44.8	Other specified headache syndromes	33989	G4489	00000
ICD10-CM	H33.05	Total retinal detachment	36105	H33059	10000
ICD10-CM	Z3A.41	41 weeks gestation of pregnancy	NoDx	Z3A41	11000
ICD10-CM	L03.123	Acute lymphangitis of right upper limb	6824	L03123	10000
ICD10-CM	T47.0X1A	Poisoning by histamine H2-receptor blockers, accidental (unintentional), initial encounter	9730	T470X1A	10111
ICD10-CM	S72.113G	Displaced fracture of greater trochanter of unspecified femur, subsequent encounter for closed fracture with delayed healing	V5413	S72113G	10000
ICD10-CM	E11.52	Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene	44381	E1152	10112
ICD10-CM	S06.333A	Contusion and laceration of cerebrum, unspecified, with loss of consciousness of 1 hour to 5 hours 59 minutes, initial encounter	85183	S06333A	10000
ICD10-CM	Z65.3	Problems related to other legal circumstances	V625	Z653	10000
ICD10-CM	F43.29	Adjustment disorder with other symptoms	30929	F4329	10000
ICD10-CM	H40.61X2	Glaucoma secondary to drugs, right eye, moderate stage	36532	H4061X2	10000
ICD10-CM	T22.30XA	Burn of third degree of shoulder and upper limb, except wrist and hand, unspecified site, initial encounter	94330	T2230XA	10000
ICD10-CM	H05.243	Constant exophthalmos, bilateral	37631	H05243	10000
ICD10-CM	N90.818	Other female genital mutilation status	62929	N90818	00000
ICD10-CM	S86.302A	Unspecified injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level, left leg, initial encounter	9597	S86302A	10000
ICD10-CM	S82.874C	Nondisplaced pilon fracture of right tibia, initial encounter for open fracture type IIIA, IIIB, or IIIC	8241	S82874C	10000
ICD10-CM	I82.40	Acute embolism and thrombosis of unspecified deep veins of lower extremity	45340	I82409	10000
ICD10-CM	X83.8XXD	Intentional self-harm by other specified means, subsequent encounter	E9588	X838XXD	10000
ICD10-CM	S93.402S	Sprain of unspecified ligament of left ankle, sequela	9057	S93402S	10000
ICD10-CM	F41.0	Panic disorder [episodic paroxysmal anxiety] without agoraphobia	30001	F410	00000
ICD10-CM	O87.8	Other venous complications in the puerperium	67182	O878	10000
ICD10-CM	H44.23	Degenerative myopia, bilateral	36021	H4423	10000
ICD10-CM	M10.211	Drug-induced gout, right shoulder	27400	M10211	10000
ICD10-CM	J01.0	Acute maxillary sinusitis	4610	J0100	10000
ICD10-CM	H02.30	Blepharochalasis unspecified eye, unspecified eyelid	37434	H0230	10000
ICD10-CM	T65.894A	Toxic effect of other specified substances, undetermined, initial encounter	E9809	T65894A	10112
ICD10-CM	Y92.331	Roller skating rink as the place of occurrence of the external cause	E8494	Y92331	10000
ICD10-CM	Z83.3	Family history of diabetes mellitus	V180	Z833	00000
ICD10-CM	C34.12	Malignant neoplasm of upper lobe, left bronchus or lung	1623	C3412	10000
ICD10-CM	M67.269	Synovial hypertrophy, not elsewhere classified, unspecified lower leg	72789	M67269	10000
ICD10-CM	K56.49	Other impaction of intestine	56039	K5649	00000
ICD10-CM	I73.1	Thromboangiitis obliterans [Buerger's disease]	4431	I731	00000
ICD10-CM	Q39.4	Esophageal web	7503	Q394	10000
ICD10-CM	O44.03	Complete placenta previa NOS or without hemorrhage, third trimester	64101	O4403	10000
ICD10-CM	X74.8XXA	Intentional self-harm by other firearm discharge, initial encounter	E9554	X748XXA	10000
ICD10-CM	D69.49	Other primary thrombocytopenia	28739	D6949	10000
ICD10-CM	S90.426A	Blister (nonthermal), unspecified lesser toe(s), initial encounter	9172	S90426A	10000
ICD10-CM	H40.41X3	Glaucoma secondary to eye inflammation, right eye, severe stage	36562	H4041X3	10111
ICD10-CM	O36.71X0	Maternal care for viable fetus in abdominal pregnancy, first trimester, not applicable or unspecified	65681	O3671X0	10000
ICD10-CM	S82.192P	Other fracture of upper end of left tibia, subsequent encounter for closed fracture with malunion	73381	S82192P	10000
ICD10-CM	M50.0	Cervical disc disorder with myelopathy	72271	M5000	10000
ICD10-CM	N53.19	Other ejaculatory dysfunction	60887	N5319	10000
ICD10-CM	H02.511	Abnormal innervation syndrome right upper eyelid	37443	H02511	10000
ICD10-CM	W56.81XD	Bitten by other nonvenomous marine animals, subsequent encounter	E9063	W5681XD	10000
ICD10-CM	C72.0	Malignant neoplasm of spinal cord	1922	C720	10000
ICD10-CM	S72.061A	Displaced articular fracture of head of right femur, initial encounter for closed fracture	82009	S72061A	10000
ICD10-CM	F52.8	Other sexual dysfunction not due to a substance or known physiological condition	30279	F528	10000
ICD10-CM	S60.149A	Contusion of unspecified ring finger with damage to nail, initial encounter	9233	S60149A	10000
ICD10-CM	S72.042A	Displaced fracture of base of neck of left femur, initial encounter for closed fracture	82003	S72042A	10000
ICD10-CM	H44.00	Unspecified purulent endophthalmitis	36000	H44009	10000
ICD10-CM	K52.81	Eosinophilic gastritis or gastroenteritis	53571	K5281	10000
ICD10-CM	D04.21	Carcinoma in situ of skin of right ear and external auricular canal	2322	D0421	10000
ICD10-CM	R22.32	Localized swelling, mass and lump, left upper limb	7822	R2232	10000
ICD10-CM	H71.12	Cholesteatoma of tympanum, left ear	38532	H7112	10000
ICD10-CM	P28.10	Unspecified atelectasis of newborn	7705	P2810	10000
ICD10-CM	H60.8X3	Other otitis externa, bilateral	38023	H608X3	10000
ICD10-CM	S62.302B	Unspecified fracture of third metacarpal bone, right hand, initial encounter for open fracture	81519	S62302B	10000
ICD10-CM	H02.131	Senile ectropion of right upper eyelid	37411	H02131	10000
ICD10-CM	S61.402D	Unspecified open wound of left hand, subsequent encounter	V5889	S61402D	10000
ICD10-CM	T19.0XXA	Foreign body in urethra, initial encounter	9390	T190XXA	10111
ICD10-CM	T63.314A	Toxic effect of venom of black widow spider, undetermined, initial encounter	9895	T63314A	10111
ICD10-CM	M79.646	Pain in unspecified finger(s)	7295	M79646	10000
ICD10-CM	I83.012	Varicose veins of right lower extremity with ulcer of calf	4540	I83012	10000
ICD10-CM	F13.90	Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated	30540	F1390	10000
ICD10-CM	O33.6XX0	Maternal care for disproportion due to hydrocephalic fetus, not applicable or unspecified	65363	O336XX0	10000
ICD10-CM	L97.12	Non-pressure chronic ulcer of left thigh	70711	L97129	10000
ICD10-CM	M84.675D	Pathological fracture in other disease, left foot, subsequent encounter for fracture with routine healing	V5426	M84675D	10000
ICD10-CM	M67.99	Unspecified disorder of synovium and tendon, multiple sites	7279	M6799	10000
ICD10-CM	S93.432S	Sprain of tibiofibular ligament of left ankle, sequela	9057	S93432S	10000
ICD10-CM	D04.70	Carcinoma in situ of skin of unspecified lower limb, including hip	2327	D0470	10000
ICD10-CM	I42.4	Endocardial fibroelastosis	4253	I424	00000
ICD10-CM	D01.40	Carcinoma in situ of unspecified part of intestine	2307	D0140	10000
ICD10-CM	L89.513	Pressure ulcer of right ankle, stage 3	70706	L89513	10111
ICD10-CM	S82.241A	Displaced spiral fracture of shaft of right tibia, initial encounter for closed fracture	82320	S82241A	10000
ICD10-CM	M86.131	Other acute osteomyelitis, right radius and ulna	73003	M86131	10000
ICD10-CM	C40.80	Malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb	1709	C4080	10000
ICD10-CM	M86.362	Chronic multifocal osteomyelitis, left tibia and fibula	73016	M86362	10000
ICD10-CM	Z91.411	Personal history of adult psychological abuse	V1542	Z91411	10000
ICD10-CM	M1A.9XX0	Chronic gout, unspecified, without tophus (tophi)	27402	M1A9XX0	10000
ICD10-CM	M65.032	Abscess of tendon sheath, left forearm	72789	M65032	10000
ICD10-CM	S13.9XXA	Sprain of joints and ligaments of unspecified parts of neck, initial encounter	8479	S139XXA	10000
